realSum,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,person_capacity,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,room_shared_0,room_shared_1,room_private_0,room_private_1,multi_0,multi_1,biz_0,biz_1
202.70428608253465,10.0,94.0,1,5.611750155516678,3.911722315852436,4.885,52.42343,2.0,0,1,0,1,0,0,1,1,0,1,0
796.2880509924308,10.0,94.0,2,2.8549916690296686,1.7025833727524873,4.8588,52.35848,4.0,1,0,0,1,0,1,0,1,0,1,0
504.06580273240695,9.0,96.0,1,6.411657372487183,4.143226904079955,4.98597,52.36376,2.0,0,1,0,1,0,0,1,1,0,1,0
319.6400534295691,10.0,95.0,1,0.5403538681782272,0.3386577422231185,4.90032,52.37525,2.0,0,1,0,1,0,0,1,1,0,0,1
614.4400440559605,9.0,96.0,1,0.495828246257032,0.3327422132904341,4.8996900000000005,52.37513,4.0,0,1,0,1,0,0,1,1,0,0,1
467.0400487427648,10.0,94.0,1,0.5143556615734999,0.2772111229812157,4.90027,52.37469,3.0,0,1,0,1,0,0,1,1,0,0,1
716.3780376350386,10.0,96.0,2,3.69500542587883,0.3975279375938017,4.841,52.38253,5.0,1,0,0,1,0,1,0,1,0,1,0
350.1042813957304,10.0,91.0,0,1.0978692589754402,0.9569279642150376,4.88774,52.382540000000006,2.0,0,1,0,1,0,0,1,0,1,1,0
319.6400534295691,10.0,97.0,1,0.3846115997106273,0.3126380462316873,4.89831,52.37457,2.0,0,1,0,1,0,0,1,1,0,0,1
467.0400487427648,10.0,96.0,1,0.4715465422801259,0.1432629485982863,4.90002,52.37341,3.0,0,1,0,1,0,0,1,1,0,0,1
983.2915426616364,10.0,100.0,2,1.4305110577156566,1.3525869353715234,4.87317,52.36917,3.0,1,0,0,1,0,1,0,1,0,1,0
298.78377428350484,9.0,94.0,0,4.224208587262892,1.5193110444768114,4.93986,52.348290000000006,2.0,0,1,0,1,0,0,1,1,0,1,0
196.6114404893024,9.0,94.0,1,6.198278628987274,2.3712668616978507,4.96617,52.40648,4.0,0,1,0,1,0,0,1,1,0,1,0
430.24863496824696,10.0,96.0,1,3.0194408531429744,0.7924066228604738,4.84941,52.37788,2.0,1,0,0,1,0,1,0,1,0,1,0
319.6400534295691,9.0,95.0,1,0.3633454412498557,0.2096397288159174,4.89843,52.3734,2.0,0,1,0,1,0,0,1,1,0,0,1
405.6429123801936,9.0,98.0,1,5.036497714450563,1.2466108857508118,4.82115,52.38375,4.0,0,1,0,1,0,0,1,1,0,1,0
334.16914676727674,10.0,97.0,1,1.151764132843782,0.8970263744801004,4.881,52.36600000000001,2.0,0,1,0,1,0,0,1,0,1,1,0
491.8801115459424,9.0,98.0,1,0.3751350635549438,0.1903946025634141,4.89861,52.37326,2.0,0,1,0,1,0,0,1,1,0,0,1
319.6400534295691,9.0,95.0,1,0.3605068051816017,0.2235065665493052,4.89837,52.37355,2.0,0,1,0,1,0,0,1,1,0,0,1
780.3529163639773,10.0,100.0,5,1.395578909867689,0.8572393306243391,4.91319,52.37075,4.0,0,1,0,1,0,0,1,1,0,0,1
355.025425913341,9.0,90.0,1,1.4833705939880382,0.5362382328069959,4.91113,52.36575,2.0,1,0,0,1,0,1,0,1,0,1,0
1044.6886790242074,10.0,98.0,2,1.505923967249401,0.175794704274626,4.9075,52.36296,4.0,1,0,0,1,0,1,0,1,0,1,0
847.8428983197807,10.0,98.0,3,1.2673284617211298,1.1579997481608375,4.876519999999999,52.36806,4.0,1,0,0,1,0,1,0,1,0,1,0
373.7726431232864,10.0,98.0,1,0.9750693378669916,1.1049968776580508,4.884,52.38,2.0,0,1,0,1,0,0,1,0,1,1,0
